source,target,count
3cTim哥生活的日常,Joeman,1
77老大,黃小米-Mii,1
Candy-孟潔,關韶文,1
Evelyn-Chen-理科太太,白癡公主,1
GINA-HELLO!,魚乾,1
HahaTai-哈哈台,崔&雪莉&Jon,1
How-Fun-如何爽,廉傑克曼,1
How-Fun-如何爽,蔡哥,1
Ian&Eric,PEETA葛格,1
Ian&Eric,我是阿樂-林妤臻,1
J-Bao賤葆,Onion-man-洋蔥先生與阿文,2
J-Bao賤葆,我是阿樂-林妤臻,1
J-Bao賤葆,黃氏兄弟,1
Joeman,黃氏兄弟,1
Joeman,元-元,2
Joeman,阿滴英文,2
Joeman,Ian&Eric,1
Joeman,Onion-man-洋蔥先生與阿文,1
Joeman,3cTim哥生活的日常,1
Onion-man-洋蔥先生與阿文,J-Bao賤葆,2
Onion-man-洋蔥先生與阿文,廚佛瑞德Fred,1
Onion-man-洋蔥先生與阿文,志祺七七,1
PEETA葛格,一隻阿圓,2
PEETA葛格,白癡公主,1
PEETA葛格,阿滴英文,2
Sandy-&-Mandy,一隻阿圓,1
Six-Wang,現在宅知道,1
Sunnie-陸筱晴,羚小鹿,2
Yun-Chou,陳彥婷,1
一隻阿圓,蔡哥,1
一隻阿圓,飽妮,1
三個麻瓜,黃氏兄弟,2
人類超有病-Baxuan,健人蓋伊,1
元-元,這群人-董仔,1
千千進食中,飽妮,1
千千進食中,廚佛瑞德Fred,1
千千進食中,蔡哥,1
卡特-Kart,江老師,3
台灣吧,Mom-&-Dad,2
咪妃Julia,鵝鵝就是鵝鵝,3
啾啾妹-by-LIIN,阿啾繪圖同萌,1
喪屍老爸,咪妃Julia,1
嘎嫂二伯,Ian&Eric,1
嘎嫂二伯,千千進食中,2
嘎嫂二伯,蔡哥,2
嘎嫂二伯,蔡阿嘎,117
囂搞-Shaogao,這群人-董仔,1
大蛇丸,阿滴英文,1
大蛇丸,木曜4超玩,2
大蛇丸,這群人-尼克,1
大蛇丸,Onion-man-洋蔥先生與阿文,11
大蛇丸,Joeman,1
大蛇丸,廚佛瑞德Fred,3
安啾咪,魚乾,1
小A辣,林進-飛醺卑鄙-fashion-baby,1
小尾巴,Joeman,1
廉傑克曼,鐵牛-Ironbull,1
廉傑克曼,蔡哥,1
廉傑克曼,How-Fun-如何爽,1
廉傑克曼,尤汐伯夷,2
廚佛瑞德Fred,Onion-man-洋蔥先生與阿文,4
廚佛瑞德Fred,千千進食中,1
志祺七七,阿滴英文,1
恩熙俊-aka-MC-Jeng,我是阿樂-林妤臻,1
我得了一種吃菜就會死的病-微疼,鐵牛-Ironbull,1
我是老爸-我不要當爸!,Men's-Game-玩物誌,1
我是阿樂-林妤臻,這群人-董仔,1
木曜4超玩,千千進食中,1
林進-飛醺卑鄙-fashion-baby,這群人TGOP,1
林進-飛醺卑鄙-fashion-baby,小A辣,2
林進-飛醺卑鄙-fashion-baby,琳妲-林羿禎,1
江老師,HahaTai-哈哈台,1
滴妹,阿滴英文,6
滴妹,黃氏兄弟,1
琳妲-林羿禎,Sunnie-陸筱晴,1
琳妲-林羿禎,林進-飛醺卑鄙-fashion-baby,1
琳妲-林羿禎,羚小鹿,3
瑀熙-Yuci,Aries艾瑞絲,1
白癡公主,黃大謙,1
白癡公主,Evelyn-Chen-理科太太,1
白癡公主,一隻阿圓,1
紀卜心-Kimi,見習網美小吳,4
紀卜心-Kimi,魔術Channel---Davio,1
胡子Huz,魚乾,1
蔡哥,蔡阿嘎,1
蔡哥,黃氏兄弟,2
蔡哥,我是阿樂-林妤臻,1
蔡哥,廉傑克曼,1
蔡哥,千千進食中,2
蔡哥,How-Fun-如何爽,1
蔡桃貴,嘎嫂二伯,5
蔡桃貴,蔡哥,1
蔡桃貴,蔡阿嘎,27
蔡阿嘎,Ian&Eric,1
蔡阿嘎,千千進食中,2
蔡阿嘎,嘎嫂二伯,44
蔡阿嘎,蔡哥,2
蔡阿嘎,蔡桃貴,1
蕭志瑋,這群人-董仔,1
見習網美小吳,一隻阿圓,3
見習網美小吳,紀卜心-Kimi,1
貓貓蟲-咖波,阿滴英文,1
這群人-尼克,這群人TGOP,1
這群人-尼克,一隻阿圓,4
這群人-尼克,PEETA葛格,1
這群人TGOP,這群人-董仔,2
連環泡有芒果,上發條俱樂部,24
那個女生-Kiki,一隻阿圓,2
那個女生-Kiki,我是阿樂-林妤臻,1
那那大師,關韶文,1
閃電狼Flash-Wolves,小葵-XiaoKui,3
阿滴英文,黃氏兄弟,1
阿滴英文,滴妹,30
阿滴英文,PEETA葛格,1
阿滴英文,這群人-董仔,1
阿滴英文,J-Bao賤葆,2
阿滴英文,HOOK,1
阿滴英文,Onion-man-洋蔥先生與阿文,2
阿翰po影片,Ian&Eric,2
阿翰po影片,千千進食中,1
阿翰po影片,蔡阿嘎,1
阿翰po影片,飽妮,1
陳彥婷,瑀熙-Yuci,1
飽妮,一隻阿圓,19
魚乾,黃氏兄弟,3
鹿人,J-Bao賤葆,1
黃大謙,蔡哥,1
黃大謙,HOOK,1
黃大謙,阿滴英文,1
黃氏兄弟,有璟妍精요찡옌찡,1
黃氏兄弟,這群人-董仔,3
黃氏兄弟,我是阿樂-林妤臻,1
黃氏兄弟,關韶文,1
黃氏兄弟,Bobo-TV,1
黃氏兄弟,Aries艾瑞絲,1
黃氏兄弟,彼得爸與蘇珊媽,1
黃氏兄弟,魚乾,1
